city,scenario,overall_score,day_temp_component,night_temp_component,heat_component,rain_component,humidity_component,sunshine_component,stability_component,station_name,station_number,latitude,longitude,state_or_territory,mean_max_temp_c_annual,mean_min_temp_c_annual,annual_days_ge_30,annual_days_ge_35,annual_days_ge_40,annual_rainfall_mm,annual_rain_days,annual_rain_days_ge_1mm,annual_rain_days_ge_10mm,annual_rain_days_ge_25mm,mean_solar_exposure_mj_m2,mean_rh_avg,monthly_comfort_range,source_page,source_csv,rank,rank_change_from_balanced,rank_arrow,is_top_rank,population_2025,population_change_2024_25_number,population_change_2024_25_percent,population_source_url
Melbourne,Stay dry,80.09,91.07,90.6,94.02,83.79,95.23,42.72,59.03,MELBOURNE REGIONAL OFFICE,086071,-37.81,144.97,VIC,19.88,10.27,30,10,1.3,648.3,150.6,100,17.1,3.5,15.07,61.04,22.76,https://www.bom.gov.au/climate/averages/tables/cw_086071_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0035_086071.csv,4,1,up,0,5435590,105030,2.0,https://www.abs.gov.au/statistics/people/population/regional-population/2024-25
Canberra,Stay dry,79.84,83.47,66.67,95.39,86.3,94.68,53.03,33.78,CANBERRA AIRPORT COMPARISON,070014,-35.3,149.2,ACT,19.7,6.53,31.7,5.4,0.1,616.1,106.1,72,18.6,4.5,17.07,59.54,36.79,https://www.bom.gov.au/climate/averages/tables/cw_070014_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0037_070014.csv,5,2,up,0,484630,6200,1.3,https://www.abs.gov.au/statistics/people/population/regional-population/2024-25
Hobart,Stay dry,79.63,83.53,83.2,99.07,86.02,93.49,35.26,45.05,HOBART (ELLERSLIE ROAD),094029,-42.89,147.33,TAS,17.03,8.41,6.3,1.2,0,611.1,160.5,86.8,14.6,2.6,13.34,63.33,30.53,https://www.bom.gov.au/climate/averages/tables/cw_094029_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0033_094029.csv,6,0,same,0,255250,542,0.2,https://www.abs.gov.au/statistics/people/population/regional-population/2024-25
Sydney,Stay dry,78.16,98.2,97.6,97.54,77.31,94.68,49.04,79.16,SYDNEY (OBSERVATORY HILL),066062,-33.86,151.21,NSW,21.77,13.84,15.2,3.2,0.3,1211.3,143.2,99.5,32.6,12.5,16.32,63.21,11.58,https://www.bom.gov.au/climate/averages/tables/cw_066062_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0037_066062.csv,7,-6,down,0,5638830,75230,1.4,https://www.abs.gov.au/statistics/people/population/regional-population/2024-25
Darwin,Stay dry,68.89,51,66,62.34,71.37,90.1,75.92,44.78,DARWIN AIRPORT,014015,-12.42,130.89,NT,32.12,23.25,320.9,13.9,0,1733.4,112.9,94.1,47.2,22.3,21.43,62.29,30.68,https://www.bom.gov.au/climate/averages/tables/cw_014015_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0038_014015.csv,8,0,same,0,159284,2719,1.7,https://www.abs.gov.au/statistics/people/population/regional-population/2024-25
Brisbane,Enjoy sunshine,74,91,96.67,93.83,81.76,98.81,60.7,74.82,BRISBANE REGIONAL OFFICE,040214,-27.47,153.03,QLD,25.49,15.66,49.8,3.5,0.1,1146.4,120.6,76.4,26.5,10.2,18.53,59.38,13.99,https://www.bom.gov.au/climate/averages/tables/cw_040214_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0036_040214.csv,1,1,up,1,2833524,58223,2.1,https://www.abs.gov.au/statistics/people/population/regional-population/2024-25
Perth,Enjoy sunshine,72.87,87.2,96.67,83.8,83.76,97.43,61.23,70.66,PERTH METRO,009225,-31.92,115.87,WA,24.93,12.97,78.6,26.8,4.2,722,108,80.1,24.8,5.5,19.28,55.08,16.3,https://www.bom.gov.au/climate/averages/tables/cw_009225_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0039_009225.csv,2,2,up,0,2452765,58088,2.4,https://www.abs.gov.au/statistics/people/population/regional-population/2024-25
Adelaide,Enjoy sunshine,69.49,91.07,95.67,89.81,86.66,96.52,53.29,66.02,ADELAIDE (WEST TERRACE / NGAYIRDAPIRA),023000,-34.93,138.58,SA,21.86,12.07,49.6,16.9,2.6,524.7,120.8,86.4,13.6,1.7,17.28,55.83,18.88,https://www.bom.gov.au/climate/averages/tables/cw_023000_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0034_023000.csv,3,0,same,0,1491015,18647,1.3,https://www.abs.gov.au/statistics/people/population/regional-population/2024-25
Darwin,Enjoy sunshine,69.06,51,66,62.34,71.37,90.1,75.92,44.78,DARWIN AIRPORT,014015,-12.42,130.89,NT,32.12,23.25,320.9,13.9,0,1733.4,112.9,94.1,47.2,22.3,21.43,62.29,30.68,https://www.bom.gov.au/climate/averages/tables/cw_014015_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0038_014015.csv,4,4,up,0,159284,2719,1.7,https://www.abs.gov.au/statistics/people/population/regional-population/2024-25
Sydney,Enjoy sunshine,68.82,98.2,97.6,97.54,77.31,94.68,49.04,79.16,SYDNEY (OBSERVATORY HILL),066062,-33.86,151.21,NSW,21.77,13.84,15.2,3.2,0.3,1211.3,143.2,99.5,32.6,12.5,16.32,63.21,11.58,https://www.bom.gov.au/climate/averages/tables/cw_066062_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0037_066062.csv,5,-4,down,0,5638830,75230,1.4,https://www.abs.gov.au/statistics/people/population/regional-population/2024-25
Canberra,Enjoy sunshine,64.72,83.47,66.67,95.39,86.3,94.68,53.03,33.78,CANBERRA AIRPORT COMPARISON,070014,-35.3,149.2,ACT,19.7,6.53,31.7,5.4,0.1,616.1,106.1,72,18.6,4.5,17.07,59.54,36.79,https://www.bom.gov.au/climate/averages/tables/cw_070014_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0037_070014.csv,6,1,up,0,484630,6200,1.3,https://www.abs.gov.au/statistics/people/population/regional-population/2024-25
Melbourne,Enjoy sunshine,63.1,91.07,90.6,94.02,83.79,95.23,42.72,59.03,MELBOURNE REGIONAL OFFICE,086071,-37.81,144.97,VIC,19.88,10.27,30,10,1.3,648.3,150.6,100,17.1,3.5,15.07,61.04,22.76,https://www.bom.gov.au/climate/averages/tables/cw_086071_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0035_086071.csv,7,-2,down,0,5435590,105030,2.0,https://www.abs.gov.au/statistics/people/population/regional-population/2024-25
Hobart,Enjoy sunshine,57.26,83.53,83.2,99.07,86.02,93.49,35.26,45.05,HOBART (ELLERSLIE ROAD),094029,-42.89,147.33,TAS,17.03,8.41,6.3,1.2,0,611.1,160.5,86.8,14.6,2.6,13.34,63.33,30.53,https://www.bom.gov.au/climate/averages/tables/cw_094029_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0033_094029.csv,8,-2,down,0,255250,542,0.2,https://www.abs.gov.au/statistics/people/population/regional-population/2024-25
Sydney,Stable all year,83.99,98.2,97.6,97.54,77.31,94.68,49.04,79.16,SYDNEY (OBSERVATORY HILL),066062,-33.86,151.21,NSW,21.77,13.84,15.2,3.2,0.3,1211.3,143.2,99.5,32.6,12.5,16.32,63.21,11.58,https://www.bom.gov.au/climate/averages/tables/cw_066062_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0037_066062.csv,1,0,same,1,5638830,75230,1.4,https://www.abs.gov.au/statistics/people/population/regional-population/2024-25
Brisbane,Stable all year,81.05,91,96.67,93.83,81.76,98.81,60.7,74.82,BRISBANE REGIONAL OFFICE,040214,-27.47,153.03,QLD,25.49,15.66,49.8,3.5,0.1,1146.4,120.6,76.4,26.5,10.2,18.53,59.38,13.99,https://www.bom.gov.au/climate/averages/tables/cw_040214_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0036_040214.csv,2,0,same,0,2833524,58223,2.1,https://www.abs.gov.au/statistics/people/population/regional-population/2024-25
Perth,Stable all year,77.81,87.2,96.67,83.8,83.76,97.43,61.23,70.66,PERTH METRO,009225,-31.92,115.87,WA,24.93,12.97,78.6,26.8,4.2,722,108,80.1,24.8,5.5,19.28,55.08,16.3,https://www.bom.gov.au/climate/averages/tables/cw_009225_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0039_009225.csv,3,1,up,0,2452765,58088,2.4,https://www.abs.gov.au/statistics/people/population/regional-population/2024-25
Adelaide,Stable all year,75.72,91.07,95.67,89.81,86.66,96.52,53.29,66.02,ADELAIDE (WEST TERRACE / NGAYIRDAPIRA),023000,-34.93,138.58,SA,21.86,12.07,49.6,16.9,2.6,524.7,120.8,86.4,13.6,1.7,17.28,55.83,18.88,https://www.bom.gov.au/climate/averages/tables/cw_023000_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0034_023000.csv,4,-1,down,0,1491015,18647,1.3,https://www.abs.gov.au/statistics/people/population/regional-population/2024-25
Melbourne,Stable all year,70.76,91.07,90.6,94.02,83.79,95.23,42.72,59.03,MELBOURNE REGIONAL OFFICE,086071,-37.81,144.97,VIC,19.88,10.27,30,10,1.3,648.3,150.6,100,17.1,3.5,15.07,61.04,22.76,https://www.bom.gov.au/climate/averages/tables/cw_086071_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0035_086071.csv,5,0,same,0,5435590,105030,2.0,https://www.abs.gov.au/statistics/people/population/regional-population/2024-25
Hobart,Stable all year,60.92,83.53,83.2,99.07,86.02,93.49,35.26,45.05,HOBART (ELLERSLIE ROAD),094029,-42.89,147.33,TAS,17.03,8.41,6.3,1.2,0,611.1,160.5,86.8,14.6,2.6,13.34,63.33,30.53,https://www.bom.gov.au/climate/averages/tables/cw_094029_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0033_094029.csv,6,0,same,0,255250,542,0.2,https://www.abs.gov.au/statistics/people/population/regional-population/2024-25
Canberra,Stable all year,53.18,83.47,66.67,95.39,86.3,94.68,53.03,33.78,CANBERRA AIRPORT COMPARISON,070014,-35.3,149.2,ACT,19.7,6.53,31.7,5.4,0.1,616.1,106.1,72,18.6,4.5,17.07,59.54,36.79,https://www.bom.gov.au/climate/averages/tables/cw_070014_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0037_070014.csv,7,0,same,0,484630,6200,1.3,https://www.abs.gov.au/statistics/people/population/regional-population/2024-25
Darwin,Stable all year,53.08,51,66,62.34,71.37,90.1,75.92,44.78,DARWIN AIRPORT,014015,-12.42,130.89,NT,32.12,23.25,320.9,13.9,0,1733.4,112.9,94.1,47.2,22.3,21.43,62.29,30.68,https://www.bom.gov.au/climate/averages/tables/cw_014015_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0038_014015.csv,8,0,same,0,159284,2719,1.7,https://www.abs.gov.au/statistics/people/population/regional-population/2024-25
Sydney,Avoid muggy heat,93.7,98.2,97.6,97.54,77.31,94.68,49.04,79.16,SYDNEY (OBSERVATORY HILL),066062,-33.86,151.21,NSW,21.77,13.84,15.2,3.2,0.3,1211.3,143.2,99.5,32.6,12.5,16.32,63.21,11.58,https://www.bom.gov.au/climate/averages/tables/cw_066062_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0037_066062.csv,1,0,same,1,5638830,75230,1.4,https://www.abs.gov.au/statistics/people/population/regional-population/2024-25
Brisbane,Avoid muggy heat,93.65,91,96.67,93.83,81.76,98.81,60.7,74.82,BRISBANE REGIONAL OFFICE,040214,-27.47,153.03,QLD,25.49,15.66,49.8,3.5,0.1,1146.4,120.6,76.4,26.5,10.2,18.53,59.38,13.99,https://www.bom.gov.au/climate/averages/tables/cw_040214_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0036_040214.csv,2,0,same,0,2833524,58223,2.1,https://www.abs.gov.au/statistics/people/population/regional-population/2024-25
Adelaide,Avoid muggy heat,91.47,91.07,95.67,89.81,86.66,96.52,53.29,66.02,ADELAIDE (WEST TERRACE / NGAYIRDAPIRA),023000,-34.93,138.58,SA,21.86,12.07,49.6,16.9,2.6,524.7,120.8,86.4,13.6,1.7,17.28,55.83,18.88,https://www.bom.gov.au/climate/averages/tables/cw_023000_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0034_023000.csv,3,0,same,0,1491015,18647,1.3,https://www.abs.gov.au/statistics/people/population/regional-population/2024-25
Melbourne,Avoid muggy heat,90.49,91.07,90.6,94.02,83.79,95.23,42.72,59.03,MELBOURNE REGIONAL OFFICE,086071,-37.81,144.97,VIC,19.88,10.27,30,10,1.3,648.3,150.6,100,17.1,3.5,15.07,61.04,22.76,https://www.bom.gov.au/climate/averages/tables/cw_086071_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0035_086071.csv,4,1,up,0,5435590,105030,2.0,https://www.abs.gov.au/statistics/people/population/regional-population/2024-25
Perth,Avoid muggy heat,90.25,87.2,96.67,83.8,83.76,97.43,61.23,70.66,PERTH METRO,009225,-31.92,115.87,WA,24.93,12.97,78.6,26.8,4.2,722,108,80.1,24.8,5.5,19.28,55.08,16.3,https://www.bom.gov.au/climate/averages/tables/cw_009225_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0039_009225.csv,5,-1,down,0,2452765,58088,2.4,https://www.abs.gov.au/statistics/people/population/regional-population/2024-25
Hobart,Avoid muggy heat,88.49,83.53,83.2,99.07,86.02,93.49,35.26,45.05,HOBART (ELLERSLIE ROAD),094029,-42.89,147.33,TAS,17.03,8.41,6.3,1.2,0,611.1,160.5,86.8,14.6,2.6,13.34,63.33,30.53,https://www.bom.gov.au/climate/averages/tables/cw_094029_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0033_094029.csv,6,0,same,0,255250,542,0.2,https://www.abs.gov.au/statistics/people/population/regional-population/2024-25
Canberra,Avoid muggy heat,84.92,83.47,66.67,95.39,86.3,94.68,53.03,33.78,CANBERRA AIRPORT COMPARISON,070014,-35.3,149.2,ACT,19.7,6.53,31.7,5.4,0.1,616.1,106.1,72,18.6,4.5,17.07,59.54,36.79,https://www.bom.gov.au/climate/averages/tables/cw_070014_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0037_070014.csv,7,0,same,0,484630,6200,1.3,https://www.abs.gov.au/statistics/people/population/regional-population/2024-25
Darwin,Avoid muggy heat,71.69,51,66,62.34,71.37,90.1,75.92,44.78,DARWIN AIRPORT,014015,-12.42,130.89,NT,32.12,23.25,320.9,13.9,0,1733.4,112.9,94.1,47.2,22.3,21.43,62.29,30.68,https://www.bom.gov.au/climate/averages/tables/cw_014015_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0038_014015.csv,8,0,same,0,159284,2719,1.7,https://www.abs.gov.au/statistics/people/population/regional-population/2024-25
